,city,latitude,longtitude,humidity,temperature,cloudiness,wind speed
235,Severo-Kuril'sk,50.6789,156.125,75,25.66,19,16.96
236,Homer,59.6425,-151.5483,40,26.82,1,10.36
237,Bahār,34.9072,48.4414,35,54.03,3,4.43
238,Watertown,42.3709,-71.1828,50,56.32,75,13.8
239,Teknāf,20.8624,92.3058,87,75.04,5,2.21
240,Bluefield,37.2698,-81.2223,24,70.32,1,6.91
241,Avera,33.194,-82.5271,22,81.32,1,8.05
242,Lupiro,-8.3833,36.6667,97,70.5,100,3.38
243,Baijiantan,45.6333,85.1833,47,54.59,16,4.36
244,Henties Bay,-22.116,14.2845,77,64.8,0,9.55
245,Itarema,-2.9248,-39.9167,74,82.02,100,13.67
246,Te Anau,-45.4167,167.7167,92,45.57,26,0.76
247,Port Macquarie,-31.4333,152.9167,100,65.44,75,3.44
248,Hamilton,39.1834,-84.5333,41,75.96,20,10.36
249,College,64.8569,-147.8028,72,7.97,20,1.54
250,Baghdad,33.3406,44.4009,40,68.0,0,4.61
251,Uyuni,-20.4597,-66.825,17,59.07,30,11.99
252,Abnūb,27.2696,31.1511,29,77.0,0,11.5
253,Worthington,40.0931,-83.018,35,77.14,1,12.66
254,Petauke,-14.2426,31.3253,83,63.39,5,6.89
255,Belle Glade,26.6845,-80.6676,51,76.33,0,5.01
256,Samarai,-10.6167,150.6667,79,81.54,95,11.54
257,Coquimbo,-29.9533,-71.3436,64,68.0,0,12.66
258,Santa Isabel Rio Negro,-0.4139,-65.0192,95,76.71,97,3.44
259,Rio Grande,-32.035,-52.0986,73,78.4,40,11.5
260,Faya,18.3851,42.4509,48,67.06,16,3.44
261,Nikolskoye,59.7035,30.7861,69,34.5,20,11.18
262,Praia,14.9215,-23.5087,41,77.0,0,23.02
263,Caravelas,-17.7125,-39.2481,65,78.42,0,7.16
264,Ol'ga,43.7444,135.2892,48,39.79,94,8.55
265,Kamenka,51.3223,42.7678,82,37.99,72,6.46
266,Waipawa,-41.4122,175.5153,94,53.78,7,3.44
267,Kurchum,48.5722,83.6542,81,38.59,72,5.61
268,Nandu,22.8525,110.8233,82,72.86,64,3.47
269,Xique-Xique,-10.8218,-42.7263,46,86.0,92,0.96
270,Abalak,58.1286,68.5944,93,30.78,30,8.55
271,Lorengau,-2.0226,147.2712,78,81.05,85,7.72
272,Svetlaya,46.5389,138.3297,75,35.69,100,5.26
273,Owo,7.1962,5.5868,79,77.88,51,8.79
274,Asău,46.4333,26.4,50,43.0,100,1.16
275,Matamoros,25.5333,-103.25,16,90.68,20,2.62
276,San Miguelito,9.0333,-79.5,70,87.91,75,8.05
277,Kahului,20.8947,-156.47,69,69.33,40,20.71
278,Tsabong,-26.0217,22.401,51,73.4,53,15.88
279,Byron Bay,-28.65,153.6167,94,67.91,75,9.22
280,Andenes,69.3143,16.1194,80,33.49,75,28.77
281,Ajdabiya,30.7554,20.2263,76,61.66,0,12.75
282,Tomari,47.7658,142.0683,88,37.33,90,11.14
283,Vila Velha,-20.3297,-40.2925,69,80.51,20,11.5
284,Bakel,14.905,-12.4568,8,95.56,0,5.79
285,Sisimiut,66.9395,-53.6735,77,23.5,71,3.65
286,Huambo,-12.7761,15.7392,68,62.55,12,2.51
287,Kisangani,0.5167,25.2,88,75.2,40,3.44
288,Ponca City,36.707,-97.0856,57,75.34,75,19.57
289,Nanortalik,60.1432,-45.2371,97,34.86,100,6.24
290,Fare,-16.7,-151.0167,62,80.37,80,10.92
291,Grand Gaube,-20.0064,57.6608,83,78.01,64,7.0
292,Kenai,60.5544,-151.2583,36,24.8,1,5.86
293,Lavrentiya,65.5833,-171.0,88,-1.14,10,5.35
294,Mount Gambier,-37.8333,140.7667,100,48.2,13,3.44
295,Dulyapino,57.2578,40.8147,52,42.8,0,8.95
296,‘Āhuimanu,21.4447,-157.8378,56,73.38,75,17.27
297,Charyshskoye,51.3978,83.5598,93,37.04,100,4.47
298,Cambuí,-22.6122,-46.0575,80,69.01,89,1.61
299,Anloga,5.7947,0.8973,84,84.2,20,10.36
300,Sarkand,45.41,79.9186,70,42.17,100,3.67
301,Gorontalo,0.5412,123.0595,93,73.44,15,3.15
302,Aripuanã,-9.1667,-60.6333,74,83.55,100,2.66
303,Limbang,4.75,115.0,94,77.0,75,3.44
304,Olinda,-8.0089,-34.8553,65,80.6,20,11.5
305,Kralendijk,12.15,-68.2667,70,84.2,40,18.41
306,Eyl,7.9803,49.8164,59,78.04,81,13.31
307,Oskaloosa,41.2964,-92.6444,39,80.11,1,18.41
308,Palauig,15.435,119.9045,75,77.95,8,6.15
309,Morros,-9.4467,-46.3003,64,81.88,100,1.77
310,Korla,41.7597,86.1469,27,55.18,100,9.91
311,Strezhevoy,60.7333,77.5889,100,32.0,90,11.18
312,Chodzież,52.995,16.9198,70,35.01,81,4.0
313,Chegem,43.2833,43.1333,66,46.2,75,4.47
314,Havelock,34.8791,-76.9013,23,78.33,1,10.36
315,Sechura,-5.5569,-80.8222,58,82.6,100,9.44
316,Amga,60.8953,131.9608,100,-20.9,95,0.31
317,San Policarpo,12.1791,125.5072,81,78.26,35,12.8
318,Constitución,-35.3333,-72.4167,67,64.04,95,6.8
319,Jieshi,22.8134,115.8257,80,67.06,73,17.11
320,Bitung,1.4451,125.1824,94,77.0,20,2.3
321,Lerwick,60.1545,-1.1494,80,35.6,75,23.02
322,Bārmer,25.75,71.3833,49,79.14,0,14.34
323,Havre-St-Pierre,50.2334,-63.5986,71,51.8,90,21.85
324,Benguela,-12.5763,13.4055,86,80.51,56,2.04
325,Saint-François,46.4154,3.9054,51,35.24,0,3.44
326,Kuching,1.55,110.3333,94,77.0,20,3.44
327,Walvis Bay,-22.9575,14.5053,77,60.8,0,3.44
328,Port Blair,11.6667,92.75,77,80.15,80,4.5
329,Predejane,42.8294,22.1311,75,39.09,75,18.41
330,eMkhomazi,-30.2067,30.7978,97,67.01,96,3.0
331,Umluj,25.0213,37.2685,51,78.71,0,0.78
332,Gizo Government Station,-8.103,156.8419,77,82.27,99,7.61
333,Almeirim,-1.5233,-52.5817,65,85.14,100,3.71
334,Marrakesh,31.6315,-8.0083,60,68.0,40,9.22
335,Bubaque,11.2833,-15.8333,83,76.82,0,15.3
336,Padang,-0.9492,100.3543,94,77.0,40,3.44
337,Ilulissat,69.2167,-51.1,79,21.2,90,6.91
338,Umm Kaddadah,13.6017,26.6876,8,80.53,0,11.68
339,Yangi Marg`ilon,40.4272,71.7189,58,51.8,91,4.61
340,Pandan,14.0453,124.1694,77,76.89,100,11.07
341,Guerrero Negro,27.9769,-114.0611,53,70.45,99,19.44
342,Escanaba,45.7453,-87.0646,76,55.53,90,9.22
343,Onega,63.9061,38.1404,75,32.31,100,11.18
344,Talaya,61.3833,152.75,97,2.34,100,1.54
345,Esmeraldas,-19.7625,-44.3139,53,77.86,20,5.75
346,Dingle,10.9995,122.6711,89,74.59,92,7.0
347,Kirakira,-10.4544,161.9205,87,79.05,73,12.15
348,Curaçá,-8.9903,-39.9094,21,94.24,5,12.91
349,Udachny,66.4167,112.4,95,18.32,100,5.37
350,Ahipara,-35.1667,173.1667,80,62.64,100,8.03
351,Marathon,44.9,-89.7668,38,77.77,90,3.44
352,Kavaratti,10.5669,72.642,75,83.05,32,10.02
353,Abu Dhabi,24.4667,54.3667,83,73.4,0,8.05
354,Albury,-36.0833,146.9167,100,58.75,5,1.14
355,Novaya Lyalya,59.055,60.599,95,26.56,30,3.33
356,Komsomolets,53.7453,62.0708,98,33.06,100,7.61
357,Abu Kamal,34.4506,40.9171,25,72.68,0,12.84
358,Mīnāb,27.1467,57.0801,69,78.8,0,6.91
359,Sibolga,1.7427,98.7792,89,75.51,44,3.18
360,Chara,56.9064,118.2631,91,8.29,94,2.59
361,City of San Pedro,14.35,121.0167,73,79.86,20,3.44
362,Marawi,7.9986,124.2928,86,77.0,100,3.0
363,Plymouth,41.8334,-70.8328,50,54.41,1,11.5
364,Dohad,22.8333,74.2667,23,81.75,0,10.22
365,Buala,-8.145,159.5921,87,78.12,100,8.63
366,Bilibino,68.0546,166.4372,97,-14.28,82,2.53
367,Qasigiannguit,68.8193,-51.1922,79,21.2,90,6.91
368,Hasaki,35.7333,140.8333,87,40.91,20,5.75
369,Adrar,20.5022,-10.0711,14,84.13,2,6.22
370,Pismo Beach,35.1428,-120.6413,59,64.94,1,11.5
371,Bar Harbor,44.3876,-68.2039,66,49.96,90,11.5
372,Bhongīr,17.5108,78.8889,88,79.02,40,4.61
373,Kotdwāra,29.75,78.5333,26,76.08,51,10.71
374,Vegachí,6.7614,-74.7947,85,73.09,100,2.42
375,Soyo,-6.1349,12.3689,84,80.56,100,3.24
376,Katsuura,35.1333,140.3,76,48.63,40,9.22
377,Dubai,25.2582,55.3047,73,75.4,0,4.61
378,Ukwā,21.9667,80.4667,16,79.66,0,3.22
379,Progreso,21.2833,-89.6667,33,91.71,75,4.61
380,Praia da Vitória,38.7333,-27.0667,94,61.72,75,3.29
381,Khani,41.9563,42.9566,87,51.8,0,14.97
382,Miramar,25.9873,-80.2323,50,76.53,90,10.36
383,Sola,-13.8833,167.55,76,81.14,100,16.28
384,Palmer,42.1584,-72.3287,26,63.66,20,13.8
385,Cuamba,-14.8031,36.5372,87,65.73,2,5.17
386,Beringovskiy,63.05,179.3167,87,-6.47,13,5.75
387,Nelson Bay,-32.7167,152.15,100,65.28,90,4.61
388,Kardailovo,51.5386,53.9042,88,36.25,90,11.88
389,Rivera,-30.9053,-55.5508,58,80.13,6,5.93
390,Kudahuvadhoo,2.6708,72.8944,60,84.27,100,2.75
391,Machico,32.7,-16.7667,77,58.84,20,14.97
392,Huarmey,-10.0681,-78.1522,72,76.05,95,11.56
393,Mashhad,36.297,59.6062,27,60.8,40,6.91
394,Bhūm,18.4667,75.6667,14,88.9,5,4.25
395,Yangambi,0.8102,24.4336,98,69.89,87,2.04
396,Alugan,12.2188,125.4808,82,77.74,37,12.12
397,Austin,30.2672,-97.7431,45,83.86,58,8.05
398,Bairiki Village,1.3292,172.9752,89,78.8,75,4.61
399,Hay River,60.8156,-115.7999,79,17.6,100,9.22
400,Qaqortoq,60.7167,-46.0333,87,35.6,75,5.75
401,Culebra,18.303,-65.301,61,81.55,40,13.8
402,Maltahöhe,-24.8333,16.9833,15,69.87,0,12.15
403,Souillac,-20.5167,57.5167,94,77.0,40,6.91
404,Haines Junction,60.7522,-137.5108,49,17.6,100,11.5
405,Umaria,23.5333,80.8333,15,82.02,2,7.11
406,Misantla,19.9333,-96.8333,40,87.55,57,7.11
407,Tiznit Province,29.5833,-9.5,78,58.42,100,6.13
408,Broken Hill,-31.95,141.4333,41,57.2,0,9.42
409,Steinbach am Taunus,50.1667,8.5667,80,34.29,40,10.36
410,Baykit,61.67,96.37,99,36.18,100,3.71
411,Metro,-5.1131,105.3067,83,74.73,99,3.4
412,Umm Bāb,25.2142,50.8072,55,65.25,1,4.61
413,Bathsheba,13.2167,-59.5167,58,84.2,40,16.11
414,San Patricio,28.017,-97.5169,69,79.63,75,28.77
415,Susanville,40.4163,-120.653,15,59.43,1,6.91
416,Spas-Demensk,54.4122,34.0226,99,34.45,100,1.95
417,Caucayá,-0.1934,-74.7819,78,79.52,96,2.26
418,Nānākuli,21.3906,-158.1547,50,75.16,1,12.66
419,Agadez,19.75,10.25,6,83.23,0,9.1
420,Sørland,67.667,12.6934,80,33.8,75,18.41
421,Upington,-28.4478,21.2561,38,75.2,0,2.3
422,Totness,5.8833,-56.3167,78,80.51,85,12.33
423,Quelimane,-17.8786,36.8883,78,77.52,40,3.44
424,Port Augusta,-32.5,137.7667,94,53.6,0,3.44
425,Sfântu Gheorghe,45.8667,25.7833,67,41.47,100,1.99
426,Nurota,40.5614,65.6886,76,50.0,1,9.22
427,Manaure,11.7751,-72.4445,60,85.93,100,15.19
428,Traverse City,44.7631,-85.6206,48,66.2,20,6.91
429,Clovis,36.8252,-119.7029,37,70.99,40,5.75
430,Kropotkin,45.4375,40.5756,66,48.72,79,9.91
431,Kologriv,58.8275,44.3178,95,33.57,100,9.37
432,Siniscola,40.5719,9.6922,47,53.6,0,25.32
433,Rockport,28.0206,-97.0544,69,78.53,1,21.85
434,Adelaide,-34.9333,138.6,76,55.62,0,3.44
435,Semey,50.4111,80.2275,90,40.35,100,4.74
436,Ust'-Omchug,61.15,149.6333,100,-8.3,99,0.56
437,Leh,34.1667,77.5833,62,36.05,100,5.46
438,Husavik,66.0449,-17.3389,62,17.6,0,6.91
439,Jumla,29.2747,82.1838,62,45.66,14,5.88
440,Matara,5.9485,80.5353,87,76.44,3,5.95
441,Lebowakgomo,-24.2,29.5,88,58.1,0,9.22
442,Curillo,1.0333,-75.9191,88,77.95,95,3.83
443,Novopetrovskoye,55.9928,36.4719,70,42.8,75,4.47
444,Vanimo,-2.6741,141.3028,88,77.02,97,5.41
445,Hudson Bay,52.85,-102.3842,39,55.15,2,11.3
446,Riachão das Neves,-11.7461,-44.91,33,90.88,47,6.51
447,Melbourne,28.0836,-80.6081,36,77.0,40,11.5
448,Havøysund,70.9963,24.6622,86,32.0,90,18.41
449,Takoradze,4.8845,-1.7554,83,80.96,12,6.42
450,Tuatapere,-46.1333,167.6833,83,55.0,96,8.99
451,Kitgum,3.2783,32.8867,84,69.22,9,3.71
452,Seoul,37.5683,126.9778,87,43.45,0,2.3
